 run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ;
 0; 15; 1; 1024; 0.00253; 0.00228; 0.00002; 0.00055;  0.00912; 0.00004;  0.00004; 0.00002 ;  6664.113571 ; 0.270436 ;
 1; 15; 1; 1024; 0.00010; 0.00012; 0.00002; 0.00053;  0.00700; 0.00003;  0.00003; 0.00002 ;  6664.113571 ; 0.108333 ;
 2; 15; 1; 1024; 0.00007; 0.00011; 0.00002; 0.00038;  0.00649; 0.00003;  0.00003; 0.00002 ;  6664.113571 ; 0.100694 ;
 3; 15; 1; 1024; 0.00006; 0.00011; 0.00002; 0.00038;  0.00644; 0.00003;  0.00003; 0.00002 ;  6664.113571 ; 0.099708 ;
 4; 15; 1; 1024; 0.00007; 0.00011; 0.00002; 0.00038;  0.00641; 0.00003;  0.00003; 0.00002 ;  6664.113571 ; 0.099366 ;
 0; 15; 1; 2048; 0.00007; 0.00011; 0.00002; 0.00038;  0.00644; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.101497 ;
 1; 15; 1; 2048; 0.00007; 0.00011; 0.00002; 0.00038;  0.00645; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.101796 ;
 2; 15; 1; 2048; 0.00007; 0.00011; 0.00002; 0.00038;  0.00641; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.101329 ;
 3; 15; 1; 2048; 0.00007; 0.00014; 0.00002; 0.00038;  0.00644; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.125990 ;
 4; 15; 1; 2048; 0.00007; 0.00013; 0.00002; 0.00038;  0.00643; 0.00004;  0.00004; 0.00002 ;  6659.431533 ; 0.101735 ;
 0; 15; 1; 4096; 0.00008; 0.00012; 0.00002; 0.00038;  0.00655; 0.00007;  0.00007; 0.00002 ;  6659.431533 ; 0.109604 ;
 1; 15; 1; 4096; 0.00009; 0.00012; 0.00002; 0.00038;  0.00651; 0.00007;  0.00007; 0.00002 ;  6659.431533 ; 0.106792 ;
 2; 15; 1; 4096; 0.00009; 0.00011; 0.00002; 0.00038;  0.00653; 0.00007;  0.00007; 0.00002 ;  6659.431533 ; 0.106956 ;
 3; 15; 1; 4096; 0.00009; 0.00012; 0.00002; 0.00038;  0.00651; 0.00007;  0.00007; 0.00002 ;  6659.431533 ; 0.106712 ;
