run,iterations,city,ants,Initialize Datastructures and Skeletons,Read Data and Copy to Device,Calculate Distance,Calculate Iroulette,Average of Route Kernel,Average of update delta phero,Average of  minKernel,Average of  update phero and best_route,total time,
1,15,1,1024,0.00207,0.00224,0.00008,0.00101,0.00356,0.00019,0.00004,0.00005,0.19288, 
2,15,1,1024,0.00169,0.00034,0.00007,0.00101,0.00356,0.00019,0.00004,0.00004,0.21706, 
3,15,1,1024,0.00190,0.00033,0.00006,0.00101,0.00356,0.00019,0.00004,0.00004,0.18550, 
4,15,1,1024,0.00189,0.00032,0.00005,0.00102,0.00356,0.00019,0.00004,0.00004,0.17745, 
5,15,1,1024,0.00154,0.00033,0.00005,0.00101,0.00356,0.00019,0.00004,0.00004,0.18340, 
6,15,1,1024,0.00190,0.00033,0.00005,0.00101,0.00356,0.00019,0.00004,0.00004,0.18219, 
7,15,1,1024,0.00288,0.00034,0.00005,0.00101,0.00362,0.00019,0.00004,0.00005,0.24066, 
8,15,1,1024,0.00186,0.00032,0.00005,0.00101,0.00357,0.00019,0.00004,0.00004,0.19279, 
9,15,1,1024,0.00192,0.00032,0.00005,0.00101,0.00356,0.00019,0.00004,0.00005,0.17914, 
10,15,1,1024,0.00170,0.00032,0.00005,0.00101,0.00349,0.00019,0.00004,0.00004,0.18372, 
11,15,1,1024,0.00188,0.00033,0.00005,0.00101,0.00356,0.00019,0.00004,0.00004,0.18169, 
12,15,1,1024,0.00192,0.00032,0.00005,0.00101,0.00356,0.00019,0.00004,0.00005,0.17682, 
13,15,1,1024,0.00194,0.00033,0.00005,0.00102,0.00356,0.00019,0.00004,0.00005,0.19939, 
14,15,1,1024,0.00163,0.00032,0.00005,0.00101,0.00357,0.00019,0.00004,0.00004,0.18374, 
15,15,1,1024,0.00188,0.00032,0.00005,0.00101,0.00357,0.00019,0.00004,0.00004,0.18183, 
16,15,1,1024,0.00193,0.00032,0.00005,0.00101,0.00356,0.00019,0.00004,0.00005,0.17707, 
17,15,1,1024,0.00188,0.00032,0.00005,0.00101,0.00355,0.00019,0.00004,0.00004,0.17782, 
18,15,1,1024,0.00180,0.00031,0.00005,0.00101,0.00356,0.00019,0.00004,0.00004,0.18717, 
19,15,1,1024,0.00186,0.00029,0.00005,0.00101,0.00356,0.00019,0.00004,0.00005,0.22584, 
20,15,1,1024,0.00193,0.00032,0.00005,0.00101,0.00356,0.00019,0.00004,0.00004,0.17643, 
21,15,1,1024,0.00168,0.00033,0.00005,0.00101,0.00357,0.00019,0.00004,0.00004,0.18271, 
22,15,1,1024,0.00198,0.00033,0.00005,0.00101,0.00356,0.00019,0.00004,0.00004,0.17907, 
23,15,1,1024,0.00171,0.00033,0.00005,0.00101,0.00356,0.00019,0.00004,0.00004,0.18340, 
24,15,1,1024,0.00351,0.00035,0.00005,0.00101,0.00357,0.00019,0.00004,0.00005,0.22483, 
25,15,1,1024,0.00201,0.00034,0.00005,0.00103,0.00356,0.00019,0.00004,0.00004,0.22132, 
26,15,1,1024,0.00189,0.00033,0.00005,0.00101,0.00357,0.00019,0.00004,0.00004,0.17856, 
27,15,1,1024,0.00190,0.00032,0.00005,0.00101,0.00357,0.00019,0.00004,0.00004,0.18230, 
28,15,1,1024,0.00190,0.00033,0.00005,0.00101,0.00357,0.00019,0.00004,0.00004,0.18126, 
29,15,1,1024,0.00194,0.00033,0.00005,0.00101,0.00356,0.00019,0.00004,0.00005,0.17679, 
30,15,1,1024,0.00178,0.00032,0.00005,0.00101,0.00357,0.00019,0.00004,0.00005,0.23662, 
1,15,1,2048,0.00211,0.00032,0.00005,0.00102,0.00374,0.00019,0.00004,0.00005,0.18854, 
2,15,1,2048,0.00185,0.00032,0.00005,0.00102,0.00374,0.00019,0.00004,0.00004,0.18502, 
3,15,1,2048,0.00192,0.00033,0.00005,0.00101,0.00374,0.00019,0.00004,0.00004,0.18547, 
4,15,1,2048,0.00214,0.00032,0.00005,0.00100,0.00369,0.00019,0.00004,0.00004,0.18696, 
5,15,1,2048,0.00213,0.00033,0.00005,0.00100,0.00370,0.00019,0.00004,0.00004,0.17940, 
6,15,1,2048,0.00214,0.00033,0.00005,0.00100,0.00370,0.00019,0.00004,0.00005,0.19173, 
7,15,1,2048,0.00178,0.00032,0.00005,0.00100,0.00369,0.00019,0.00004,0.00005,0.18609, 
8,15,1,2048,0.00183,0.00032,0.00005,0.00099,0.00365,0.00019,0.00004,0.00004,0.18323, 
9,15,1,2048,0.00193,0.00032,0.00005,0.00099,0.00359,0.00019,0.00004,0.00004,0.17840, 
10,15,1,2048,0.00212,0.00033,0.00005,0.00099,0.00365,0.00019,0.00004,0.00004,0.18654, 
11,15,1,2048,0.00203,0.00029,0.00004,0.00099,0.00365,0.00019,0.00004,0.00004,0.18729, 
12,15,1,2048,0.00211,0.00034,0.00005,0.00100,0.00365,0.00019,0.00004,0.00005,0.22527, 
13,15,1,2048,0.00175,0.00032,0.00005,0.00099,0.00365,0.00019,0.00004,0.00004,0.17958, 
14,15,1,2048,0.00213,0.00034,0.00005,0.00099,0.00365,0.00019,0.00004,0.00004,0.18223, 
15,15,1,2048,0.00218,0.00033,0.00005,0.00100,0.00365,0.00019,0.00004,0.00006,0.17707, 
16,15,1,2048,0.00191,0.00033,0.00005,0.00101,0.00374,0.00019,0.00004,0.00004,0.18670, 
17,15,1,2048,0.00254,0.00033,0.00005,0.00101,0.00374,0.00019,0.00004,0.00005,0.24414, 
18,15,1,2048,0.00211,0.00031,0.00005,0.00101,0.00373,0.00019,0.00004,0.00005,0.21718, 
